Date,Volume,Sentiment,y
2011-05-31,208290000,1,12569.790039
2011-06-01,183020000,0,12290.139648
2011-06-02,156370000,0,12248.549805
2011-06-03,157740000,0,12151.259766
2011-06-06,166600000,0,12089.959961
2011-06-07,162610000,0,12070.80957
2011-06-08,156870000,0,12048.94043
2011-06-09,149700000,1,12124.360352
2011-06-10,178310000,0,11951.910156
2011-06-13,153370000,1,11952.969727
2011-06-14,159620000,1,12076.110352
2011-06-15,182500000,0,11897.269531
2011-06-16,189500000,1,11961.519531
2011-06-17,342010000,1,12004.360352
2011-06-20,127250000,1,12080.379883
2011-06-21,147570000,1,12190.009766
2011-06-22,125330000,0,12109.669922
2011-06-23,206760000,0,12050.0
2011-06-24,279660000,0,11934.580078
2011-06-27,177920000,1,12043.55957
2011-06-28,135050000,1,12188.69043
2011-06-29,158720000,1,12261.419922
2011-06-30,179980000,1,12414.339844
2011-07-01,141870000,1,12582.769531
